SOC_percent, OCV_V
0, 2450
1, 3004
2, 3239
3, 3362
4, 3447
5, 3511
6, 3564
7, 3608
8, 3647
9, 3680
10, 3709
11, 3734
12, 3750
13, 3760
14, 3766
15, 3771
16, 3776
17, 3780
18, 3784
19, 3787
20, 3791
21, 3795
22, 3800
23, 3806
24, 3814
25, 3822
26, 3830
27, 3837
28, 3844
29, 3851
30, 3858
31, 3866
32, 3873
33, 3879
34, 3885
35, 3891
36, 3897
37, 3903
38, 3909
39, 3915
40, 3921
41, 3927
42, 3933
43, 3938
44, 3943
45, 3948
46, 3953
47, 3957
48, 3961
49, 3965
50, 3969
51, 3973
52, 3976
53, 3978
54, 3981
55, 3983
56, 3985
57, 3987
58, 3989
59, 3991
60, 3993
61, 3995
62, 3996
63, 3998
64, 4000
65, 4001
66, 4003
67, 4005
68, 4006
69, 4008
70, 4010
71, 4011
72, 4013
73, 4015
74, 4017
75, 4019
76, 4021
77, 4023
78, 4025
79, 4027
80, 4030
81, 4033
82, 4035
83, 4038
84, 4041
85, 4045
86, 4049
87, 4053
88, 4059
89, 4065
90, 4072
91, 4080
92, 4090
93, 4098
94, 4106
95, 4114
96, 4122
97, 4131
98, 4141
99, 4152
100, 4175
